Graph,GS energy
1,-297.0
2,-291.0
3,-289.0
4,-271.0
5,-303.0
6,-293.0
7,-291.0
8,-281.0
9,-283.0
10,-285.0
11,-271.0
12,-281.0
13,-301.0
14,-285.0
15,-279.0
16,-285.0
17,-277.0
18,-275.0
19,-281.0
20,-285.0
21,-283.0
22,-279.0
23,-287.0
24,-287.0
25,-273.0
26,-279.0
27,-307.0
28,-273.0
29,-291.0
30,-301.0
31,-297.0
32,-285.0
33,-293.0
34,-283.0
35,-299.0
36,-289.0
37,-299.0
38,-303.0
39,-283.0
40,-293.0
41,-293.0
42,-281.0
43,-275.0
44,-279.0
45,-287.0
46,-315.0
47,-277.0
48,-283.0
49,-295.0
50,-301.0
51,-297.0
52,-293.0
53,-287.0
54,-279.0
55,-291.0
56,-283.0
57,-285.0
58,-295.0
59,-291.0
60,-279.0
61,-287.0
62,-279.0
63,-279.0
64,-279.0
65,-281.0
66,-295.0
67,-283.0
68,-301.0
69,-289.0
70,-285.0
71,-275.0
72,-293.0
73,-289.0
74,-319.0
75,-287.0
76,-281.0
77,-281.0
78,-293.0
79,-299.0
80,-291.0
81,-293.0
82,-293.0
83,-293.0
84,-285.0
85,-301.0
86,-273.0
87,-293.0
88,-283.0
89,-285.0
90,-295.0
91,-271.0
92,-279.0
93,-297.0
94,-281.0
95,-289.0
96,-289.0
97,-283.0
98,-289.0
99,-283.0
100,-313.0
